binding_set_id	first_binding	binding_count	digest
212	2672	14	d122b90e566dc7a70e4373941331e4d249c34ff7bc055176b8904b9ba230ccc3
213	2686	14	788807ac76f9fd7b626567bd49eca40902d827f2763a26b6502aabf93a1f8c08
214	2700	13	75da7a56c45ea7c9d059cb37fbcbf9718d6462e7738224537b3d436434b77c9c
215	2713	9	753db5b58d88073a4456522d49c6390a1824bb63c8120fc7c8b221809ebafa4c
216	2722	7	e492bde41b3a5d07fd7a15b4d61b9e969302babe3717d470909d40d96c4ab740
217	2729	9	46aed5a00e817ccbf469328f52510782c31561b19eb4f3cc884f45e405918cff
218	2738	10	fe81d7cc0ed683623630bc926839d23e13c4de06a6e094ea16648da8266af24e
219	2748	10	c6ea7108f34b3c242f61aad552f57517db0183f30ebcae372d42316cbe939c4b
220	2758	5	80cf6c25ef9a01c62381632d70952efa4e636533ab4580c5817674519687c6f3
221	2763	7	ecdc424009d1ea989217cb1265dea1e1a84f04a60045035d8c8db003686c954b
222	2770	10	8b4761cfaaca9a843ceacf73f38f86aefcefdb8cbd3db520ba2fdc4efe1c6092
223	2780	12	8062369b455cfba6df2bfbe9218ed5e8d29962b206685b0afa1771aa54db5cdc
224	2792	11	9cf1d29ccc1a859ae45f8a57441bc99954c2b75b23092f10d7c88b94f2a558de
225	2803	13	7be3bcc85807a1e3f39a23f82ea0e93a4d362674889bc6ae040070ecc6c042ab
226	2816	12	513fc81de747b2122aa5a240e5731d05bdca0660a4558637edade18161c77c20
227	2828	14	74919fbd188918e13293a1e707def55c4b51ce743fadadb562316d7f49bcd75b
228	2842	13	b01bf564748e949069ac0584dca52ada6a25fe96cf8818bb5b86a8bb0613c8a7
229	2855	12	c5ba4e2576239b106fe4d014bfe0c1013ee57345478dd83a8ede0ba4ca4cc3bf
230	2867	9	5d18db1c7f255eb57c622f865b5eb07d8b66104991a46ea670c82930477ddd00
231	2876	8	11c852f4af798d2c564bcb0dbb16161cb99fca13ee82210b3989b23c95772f5d
232	2884	8	ec4390b856a32a797efe4f3844564072d5a3a4dafd0fc1a1c1be5a21328f1087
233	2892	7	e8bc58f051d0e85f5a2fc059a5c6e88a49db07c584613219a84e58bbfdfafa77
234	2899	5	34ebdbc22eaa481986735524a6d1264e4488a2965e5b8670ab0537d81b6acbec
235	2904	4	0295f9a555a45f8eb016220cc7cf805eb43fd8671557120d58c1d66a93fa6e00
