descriptor_index	iform_id	name_id	group_id	decode_bit_id	decode_bitmap_index	decode_bitmap_mask	iclass	isa_set
3228	3837	1541	262	210	3	0x0000000000040000	VCVTNEPS2BF16	AVX_NE_CONVERT
3229	3838	1541	262	210	3	0x0000000000040000	VCVTNEPS2BF16	AVX_NE_CONVERT
3230	3839	1541	262	210	3	0x0000000000040000	VCVTNEPS2BF16	AVX_NE_CONVERT
3231	3840	1541	262	210	3	0x0000000000040000	VCVTNEPS2BF16	AVX_NE_CONVERT
3232	6342	1814	46	9	0	0x0000000000000200	VPBROADCASTB	AVX2
3233	6343	1814	46	9	0	0x0000000000000200	VPBROADCASTB	AVX2
3234	6347	1814	46	9	0	0x0000000000000200	VPBROADCASTB	AVX2
3235	6348	1814	46	9	0	0x0000000000000200	VPBROADCASTB	AVX2
3236	6387	1817	46	9	0	0x0000000000000200	VPBROADCASTW	AVX2
3237	6388	1817	46	9	0	0x0000000000000200	VPBROADCASTW	AVX2
3238	6392	1817	46	9	0	0x0000000000000200	VPBROADCASTW	AVX2
3239	6393	1817	46	9	0	0x0000000000000200	VPBROADCASTW	AVX2
3240	7154	1863	46	9	0	0x0000000000000200	VPMASKMOVD	AVX2
3241	7155	1863	46	9	0	0x0000000000000200	VPMASKMOVD	AVX2
3242	7158	1864	46	9	0	0x0000000000000200	VPMASKMOVQ	AVX2
3243	7159	1864	46	9	0	0x0000000000000200	VPMASKMOVQ	AVX2
3244	7152	1863	46	9	0	0x0000000000000200	VPMASKMOVD	AVX2
3245	7153	1863	46	9	0	0x0000000000000200	VPMASKMOVD	AVX2
3246	7156	1864	46	9	0	0x0000000000000200	VPMASKMOVQ	AVX2
3247	7157	1864	46	9	0	0x0000000000000200	VPMASKMOVQ	AVX2
3248	6985	1848	161	109	1	0x0000200000000000	VPGATHERDD	AVX2GATHER
3249	6987	1848	161	109	1	0x0000200000000000	VPGATHERDD	AVX2GATHER
3250	6990	1849	161	109	1	0x0000200000000000	VPGATHERDQ	AVX2GATHER
3251	6992	1849	161	109	1	0x0000200000000000	VPGATHERDQ	AVX2GATHER
3252	6996	1850	161	109	1	0x0000200000000000	VPGATHERQD	AVX2GATHER
3253	6997	1850	161	109	1	0x0000200000000000	VPGATHERQD	AVX2GATHER
3254	7000	1851	161	109	1	0x0000200000000000	VPGATHERQQ	AVX2GATHER
3255	7002	1851	161	109	1	0x0000200000000000	VPGATHERQQ	AVX2GATHER
3256	5418	1718	161	109	1	0x0000200000000000	VGATHERDPD	AVX2GATHER
3257	5420	1718	161	109	1	0x0000200000000000	VGATHERDPD	AVX2GATHER
3258	5423	1719	161	109	1	0x0000200000000000	VGATHERDPS	AVX2GATHER
3259	5425	1719	161	109	1	0x0000200000000000	VGATHERDPS	AVX2GATHER
3260	5436	1728	161	109	1	0x0000200000000000	VGATHERQPD	AVX2GATHER
3261	5438	1728	161	109	1	0x0000200000000000	VGATHERQPD	AVX2GATHER
3262	5442	1729	161	109	1	0x0000200000000000	VGATHERQPS	AVX2GATHER
3263	5443	1729	161	109	1	0x0000200000000000	VGATHERQPS	AVX2GATHER
3264	4755	750	47	11	0	0x0000000000000800	VFMADDSUB132PD	FMA
3265	4756	750	47	11	0	0x0000000000000800	VFMADDSUB132PD	FMA
3266	4761	750	47	11	0	0x0000000000000800	VFMADDSUB132PD	FMA
3267	4762	750	47	11	0	0x0000000000000800	VFMADDSUB132PD	FMA
3268	4771	749	47	11	0	0x0000000000000800	VFMADDSUB132PS	FMA
3269	4772	749	47	11	0	0x0000000000000800	VFMADDSUB132PS	FMA
3270	4777	749	47	11	0	0x0000000000000800	VFMADDSUB132PS	FMA
3271	4778	749	47	11	0	0x0000000000000800	VFMADDSUB132PS	FMA
3272	4971	756	47	11	0	0x0000000000000800	VFMSUBADD132PD	FMA
3273	4972	756	47	11	0	0x0000000000000800	VFMSUBADD132PD	FMA
3274	4977	756	47	11	0	0x0000000000000800	VFMSUBADD132PD	FMA
3275	4978	756	47	11	0	0x0000000000000800	VFMSUBADD132PD	FMA
3276	4987	755	47	11	0	0x0000000000000800	VFMSUBADD132PS	FMA
3277	4988	755	47	11	0	0x0000000000000800	VFMSUBADD132PS	FMA
3278	4993	755	47	11	0	0x0000000000000800	VFMSUBADD132PS	FMA
3279	4994	755	47	11	0	0x0000000000000800	VFMSUBADD132PS	FMA
3280	4609	702	47	11	0	0x0000000000000800	VFMADD132PD	FMA
3281	4610	702	47	11	0	0x0000000000000800	VFMADD132PD	FMA
3282	4615	702	47	11	0	0x0000000000000800	VFMADD132PD	FMA
3283	4616	702	47	11	0	0x0000000000000800	VFMADD132PD	FMA
3284	4625	699	47	11	0	0x0000000000000800	VFMADD132PS	FMA
3285	4626	699	47	11	0	0x0000000000000800	VFMADD132PS	FMA
3286	4631	699	47	11	0	0x0000000000000800	VFMADD132PS	FMA
3287	4632	699	47	11	0	0x0000000000000800	VFMADD132PS	FMA
3288	4635	704	47	11	0	0x0000000000000800	VFMADD132SD	FMA
3289	4636	704	47	11	0	0x0000000000000800	VFMADD132SD	FMA
3290	4641	703	47	11	0	0x0000000000000800	VFMADD132SS	FMA
3291	4642	703	47	11	0	0x0000000000000800	VFMADD132SS	FMA
3292	4851	762	47	11	0	0x0000000000000800	VFMSUB132PD	FMA
3293	4852	762	47	11	0	0x0000000000000800	VFMSUB132PD	FMA
3294	4857	762	47	11	0	0x0000000000000800	VFMSUB132PD	FMA
3295	4858	762	47	11	0	0x0000000000000800	VFMSUB132PD	FMA
3296	4867	761	47	11	0	0x0000000000000800	VFMSUB132PS	FMA
3297	4868	761	47	11	0	0x0000000000000800	VFMSUB132PS	FMA
3298	4873	761	47	11	0	0x0000000000000800	VFMSUB132PS	FMA
3299	4874	761	47	11	0	0x0000000000000800	VFMSUB132PS	FMA
3300	4877	764	47	11	0	0x0000000000000800	VFMSUB132SD	FMA
3301	4878	764	47	11	0	0x0000000000000800	VFMSUB132SD	FMA
3302	4883	763	47	11	0	0x0000000000000800	VFMSUB132SS	FMA
3303	4884	763	47	11	0	0x0000000000000800	VFMSUB132SS	FMA
3304	5093	774	47	11	0	0x0000000000000800	VFNMADD132PD	FMA
3305	5094	774	47	11	0	0x0000000000000800	VFNMADD132PD	FMA
3306	5099	774	47	11	0	0x0000000000000800	VFNMADD132PD	FMA
3307	5100	774	47	11	0	0x0000000000000800	VFNMADD132PD	FMA
3308	5109	773	47	11	0	0x0000000000000800	VFNMADD132PS	FMA
3309	5110	773	47	11	0	0x0000000000000800	VFNMADD132PS	FMA
3310	5115	773	47	11	0	0x0000000000000800	VFNMADD132PS	FMA
3311	5116	773	47	11	0	0x0000000000000800	VFNMADD132PS	FMA
3312	5119	776	47	11	0	0x0000000000000800	VFNMADD132SD	FMA
3313	5120	776	47	11	0	0x0000000000000800	VFNMADD132SD	FMA
3314	5125	775	47	11	0	0x0000000000000800	VFNMADD132SS	FMA
3315	5126	775	47	11	0	0x0000000000000800	VFNMADD132SS	FMA
3316	5237	786	47	11	0	0x0000000000000800	VFNMSUB132PD	FMA
3317	5238	786	47	11	0	0x0000000000000800	VFNMSUB132PD	FMA
3318	5243	786	47	11	0	0x0000000000000800	VFNMSUB132PD	FMA
3319	5244	786	47	11	0	0x0000000000000800	VFNMSUB132PD	FMA
3320	5253	785	47	11	0	0x0000000000000800	VFNMSUB132PS	FMA
3321	5254	785	47	11	0	0x0000000000000800	VFNMSUB132PS	FMA
3322	5259	785	47	11	0	0x0000000000000800	VFNMSUB132PS	FMA
3323	5260	785	47	11	0	0x0000000000000800	VFNMSUB132PS	FMA
3324	5263	788	47	11	0	0x0000000000000800	VFNMSUB132SD	FMA
3325	5264	788	47	11	0	0x0000000000000800	VFNMSUB132SD	FMA
3326	5269	787	47	11	0	0x0000000000000800	VFNMSUB132SS	FMA
3327	5270	787	47	11	0	0x0000000000000800	VFNMSUB132SS	FMA
3328	4781	752	47	11	0	0x0000000000000800	VFMADDSUB213PD	FMA
3329	4782	752	47	11	0	0x0000000000000800	VFMADDSUB213PD	FMA
3330	4787	752	47	11	0	0x0000000000000800	VFMADDSUB213PD	FMA
3331	4788	752	47	11	0	0x0000000000000800	VFMADDSUB213PD	FMA
3332	4797	751	47	11	0	0x0000000000000800	VFMADDSUB213PS	FMA
3333	4798	751	47	11	0	0x0000000000000800	VFMADDSUB213PS	FMA
3334	4803	751	47	11	0	0x0000000000000800	VFMADDSUB213PS	FMA
3335	4804	751	47	11	0	0x0000000000000800	VFMADDSUB213PS	FMA
3336	4997	758	47	11	0	0x0000000000000800	VFMSUBADD213PD	FMA
3337	4998	758	47	11	0	0x0000000000000800	VFMSUBADD213PD	FMA
3338	5003	758	47	11	0	0x0000000000000800	VFMSUBADD213PD	FMA
3339	5004	758	47	11	0	0x0000000000000800	VFMSUBADD213PD	FMA
3340	5013	757	47	11	0	0x0000000000000800	VFMSUBADD213PS	FMA
3341	5014	757	47	11	0	0x0000000000000800	VFMSUBADD213PS	FMA
3342	5019	757	47	11	0	0x0000000000000800	VFMSUBADD213PS	FMA
3343	5020	757	47	11	0	0x0000000000000800	VFMSUBADD213PS	FMA
3344	4651	743	47	11	0	0x0000000000000800	VFMADD213PD	FMA
